route_key,final_seatcount
2025-01-19_03_47,4954.8439893895875
2025-01-21_47_30,1550.2762881254387
2025-01-17_30_02,2083.4866367300506
2025-02-19_21_02,1239.279918330791
2025-01-08_45_47,4720.7819184610025
2025-01-11_47_46,3272.161428557311
2025-01-22_46_47,1674.570820263404
2025-01-22_18_46,1908.8548752463153
2025-02-28_18_46,1886.7965399018826
2025-01-17_17_23,1302.0881072569784
2025-02-11_26_46,1725.2771164392486
2025-02-02_02_40,2820.3701133118147
2025-01-11_47_30,2394.4978095096994
2025-02-12_47_06,1216.782341554698
2025-01-03_35_46,2644.4830613368804
2025-02-10_15_46,2174.2736410813914
2025-02-07_36_27,1695.0853889772782
2025-02-01_46_20,3292.6166830164325
2025-01-12_46_20,5260.631665795333
2025-02-21_21_02,1342.2561662235148
2025-02-18_47_06,1265.450040414162
2025-02-13_45_05,2208.453086159722
2025-02-17_46_45,4481.283226917783
2025-01-03_13_23,1630.5346575284213
2025-02-05_48_45,1652.516177620503
2025-01-07_47_05,4091.084020153396
2025-02-05_02_21,1359.8346767561693
2025-01-07_44_46,1900.321366775817
2025-02-26_14_30,1882.220248562896
2025-02-10_45_42,1481.880532455326
2025-02-02_46_44,3657.589308307936
2025-02-17_38_36,2327.230345348323
2025-02-16_46_09,4499.575327708202
2025-02-21_32_19,2240.858136421446
2025-02-15_47_43,2991.146200087468
2025-02-26_34_45,1638.0723940149583
2025-01-28_47_28,1574.3294911546402
2025-01-21_45_46,3745.0410891112897
2025-02-16_30_14,1603.5218493580478
2025-02-24_03_45,1546.5910817007148
2025-02-04_12_36,2062.9916904266943
2025-01-20_43_47,4184.035161247155
2025-02-04_48_45,2188.2861941063206
2025-01-22_27_36,1499.1210596871
2025-02-03_47_06,1189.4221526820381
2025-01-23_46_09,4008.1773899554687
2025-02-14_03_45,1703.5389297147115
2025-02-15_36_12,2517.767369206774
2025-02-03_41_36,2710.605388472363
2025-01-12_13_23,1620.7215193079937
2025-02-05_02_16,1550.9975340961025
2025-02-07_05_45,2050.530934148206
2025-02-17_36_11,2587.042705759471
2025-01-15_46_15,1888.511229285719
2025-02-02_33_46,2327.2634406275465
2025-02-07_47_02,2175.1213171473382
2025-02-04_48_46,3008.298618720829
2025-01-06_47_02,1673.6059486968018
2025-01-01_07_36,3535.21005004338
2025-01-20_36_41,4123.217435632819
2025-02-15_03_47,1806.1276472456643
2025-01-22_03_47,2072.2041764745186
2025-01-13_36_37,3058.6834435304045
2025-02-18_32_19,1548.855552572955
2025-01-23_02_19,2261.0705180101445
2025-01-15_47_46,2057.401325459488
2025-02-26_05_45,1683.4360589974806
2025-01-18_45_34,1681.2332584149021
2025-01-21_21_02,1157.8265827357343
2025-01-14_21_02,1157.8265827357343
2025-02-04_46_47,1444.464471336829
2025-02-22_41_36,3082.5588711593427
2025-02-25_46_44,3724.7790078155235
2025-01-03_41_36,4902.260176705955
2025-01-13_07_36,1908.5953839640952
2025-01-25_47_08,1721.2095631541977
2025-02-23_47_08,1739.7381720205783
2025-02-07_47_08,2197.8528697664005
2025-02-09_46_09,3654.661852546576
2025-01-25_47_06,1382.549235005414
2025-01-28_46_33,980.8175410031125
2025-01-19_46_47,2487.66045541473
2025-02-18_19_02,1676.8966815569145
2025-02-14_46_45,4487.592643388584
2025-01-13_15_46,1617.702018382709
2025-02-01_48_46,5794.228708863569
2025-02-19_47_28,2311.7519928977263
2025-01-10_09_45,3300.675504738754
2025-02-11_46_26,1723.1079593163495
2025-01-18_02_14,1421.2092944355998
2025-01-31_22_36,2143.458476331375
2025-01-07_45_46,3737.1523857366683
2025-01-02_46_48,4528.83906579267
2025-01-15_21_02,1249.5748400616508
2025-02-28_02_14,1403.58816553457
2025-01-11_47_03,6162.569756526937
2025-02-28_02_21,1328.4405857623692
2025-02-01_34_45,1558.5926692417304
2025-01-07_09_45,2825.1836331687723
2025-02-19_03_45,1348.2816749106926
2025-01-13_05_45,1831.6938981807602
2025-02-10_02_24,1359.8346767561693
2025-01-21_45_03,1279.8016366142322
2025-01-08_46_44,3299.962706467286
2025-02-20_03_47,2095.057546628971
2025-02-16_34_45,3109.639243803991
2025-02-14_20_46,1829.3355268155788
2025-02-02_45_34,1306.9809387093774
2025-02-13_47_46,2132.207557863043
2025-01-14_45_03,1687.4827954714613
2025-01-23_09_46,3602.6076665975793
2025-02-14_02_24,1645.320738747506
2025-02-10_02_47,1606.781514713739
2025-02-04_46_35,1624.8169386797285
2025-02-24_01_02,1213.877943068162
2025-02-17_17_23,1858.6099099578187
2025-02-15_09_46,3848.3697341455227
2025-02-16_23_13,1507.0750080302976
2025-01-28_37_36,1372.6349892115868
2025-02-19_15_46,1097.8846170410025
2025-01-05_39_45,3121.7282006994055
2025-01-01_02_31,1967.5167236294021
2025-02-04_47_05,1765.5575883657175
2025-01-22_45_05,1551.5383242171574
2025-02-16_19_30,1975.0325362561823
2025-02-11_46_47,1487.1109851961533
2025-01-16_28_47,3068.452810979097
2025-01-25_19_30,1915.5578418204818
2025-02-21_19_32,2465.880738591143
2025-01-26_46_47,2248.748715467525
2025-01-05_30_14,1554.522811493058
2025-01-30_26_46,1970.8566881090496
2025-02-13_45_47,5199.882572186701
2025-01-21_43_47,3597.868273772665
2025-02-12_47_02,1507.1658227672986
2025-01-21_47_45,3932.348404471224
2025-01-11_45_44,3375.3172140743227
2025-01-17_30_14,1669.7472107041535
2025-01-02_46_33,1997.846511813771
2025-01-08_47_02,1542.6854906895182
2025-01-14_36_11,1434.3057825143273
2025-02-22_46_09,4098.264617906493
2025-02-05_36_27,1602.2758265802331
2025-01-17_01_02,1338.3598322365792
2025-02-27_17_23,1578.469192091443
2025-02-26_45_03,1318.6031103882015
2025-02-27_26_46,1806.4211668945536
2025-02-18_04_29,1286.0104682088152
2025-02-11_36_37,9026.275717631164
2025-01-06_12_36,2165.0766245368113
2025-01-20_01_02,1369.6373481066282
2025-02-16_46_48,3349.1255084902064
2025-01-23_45_47,4257.914075493287
2025-01-27_02_01,1277.9078196261298
2025-02-12_08_47,1339.671208370778
2025-01-11_02_01,1364.6552597283016
2025-01-14_45_46,4394.808657895429
2025-01-09_16_02,1571.8951369078377
2025-01-21_02_01,1260.1393705256494
2025-01-16_33_46,3109.185484254743
2025-02-05_44_46,1873.4460616696938
2025-01-12_23_25,1366.5956953233226
2025-02-09_09_45,3530.6019855996656
2025-01-02_13_23,1818.6815742512022
2025-01-03_46_18,1982.7459193553143
2025-02-14_36_27,2026.895809192332
2025-01-09_46_35,5575.045715764578
2025-01-08_25_23,1554.7216062445427
2025-01-30_16_02,1364.1739932751475
2025-01-07_02_47,1795.644522170689
2025-01-04_45_05,2525.893625354038
2025-01-03_47_30,2058.183991274327
2025-01-17_40_02,2619.0330941599404
2025-02-23_36_27,1649.5721090224235
2025-02-02_02_01,1364.6552597283016
2025-02-10_48_46,4478.204446202511
2025-01-10_46_18,4230.0453154731495
2025-02-26_16_02,1530.4239001126584
2025-01-19_46_15,1745.0861270635442
2025-02-24_35_46,2940.3523154776944
2025-02-19_45_28,2331.766851422164
2025-02-05_02_47,2244.4731673626347
2025-01-31_08_47,1620.427860594176
2025-02-04_05_45,1735.1399256511916
2025-01-02_47_46,2162.8198343094605
2025-02-17_30_14,1733.0672882853594
2025-01-12_28_45,2500.3896115345215
2025-01-11_11_36,1729.9542924533528
2025-01-25_45_48,2520.294516384511
2025-02-21_45_47,5472.226775545789
2025-01-19_08_47,4733.956747600528
2025-02-16_28_45,3718.2744268768693
2025-01-30_30_14,1675.7272886137334
2025-01-19_44_46,8191.619360903964
2025-02-14_36_12,2645.0685719851726
2025-02-11_39_45,1275.6146667353967
2025-02-15_45_28,2764.426872531351
2025-01-08_04_29,1216.618460041029
2025-01-10_45_39,3699.543978281233
2025-01-22_02_21,1364.6552597283016
2025-02-07_36_11,2828.840075520207
2025-02-09_20_46,3058.39923826538
2025-02-07_45_47,5178.688125318025
2025-01-12_47_03,4736.154476384401
2025-02-23_02_14,1339.1174918030606
2025-01-15_33_46,3086.9380042914295
2025-02-25_02_47,1905.852215754899
2025-01-08_06_47,1432.840284429688
2025-01-17_45_48,3546.0380131602833
2025-01-10_46_48,7375.2808633025315
2025-02-12_23_25,2046.7994158463232
2025-02-03_36_22,1379.3455028673088
2025-01-20_13_23,1708.8103262041757
2025-02-19_02_24,1563.4191571255883
2025-01-12_03_45,1646.6457981437638
2025-01-04_46_15,1745.0861270635442
2025-02-09_46_26,1542.8696402101064
2025-02-20_46_48,3993.645281002612
2025-01-05_48_46,5532.460101203336
2025-02-08_05_45,2052.991973211086
2025-02-21_37_36,4203.997509872008
2025-01-13_46_20,5187.680764290421
2025-01-02_31_02,2989.084276006197
2025-02-04_19_32,2084.4508112384074
2025-01-31_46_35,3714.927890291736
2025-02-14_43_47,2245.8477982610448
2025-02-28_45_34,2464.9876392554606
2025-01-03_25_23,2606.182199992913
2025-02-02_45_42,1521.6355562890137
2025-01-26_48_45,3166.790312855592
2025-02-26_31_02,1978.4846572412046
2025-02-13_21_02,1157.8265827357343
2025-01-24_21_02,1249.7404949288245
2025-02-17_39_45,2061.3576083343282
2025-01-12_32_19,2004.318627148981
2025-01-07_27_36,1266.5805263220657
2025-02-14_02_01,1390.6320341896096
2025-02-06_31_02,1596.4703159538344
2025-02-23_36_12,1833.7573032471457
2025-02-25_23_25,1500.3676536157654
2025-02-05_46_20,2050.6748017574187
2025-01-30_36_27,1415.7293126403345
2025-02-27_27_36,2028.6326940019264
2025-01-15_36_27,1649.5721090224235
2025-02-22_38_36,2314.9880416018896
2025-02-26_25_23,2082.480413713503
2025-02-10_01_02,1237.5228487002705
2025-01-09_47_05,5646.782784435435
2025-02-10_47_06,1096.3098749187898
2025-01-26_25_23,4292.677159756421
2025-01-15_46_26,1959.0553074527272
2025-02-09_11_36,3462.7730859064227
2025-01-16_04_29,1218.8576020447033
2025-01-07_36_27,1130.2864017745305
2025-02-04_02_24,1449.9548372957513
2025-02-03_45_44,1347.4335375436913
2025-01-07_19_30,1566.388911816116
2025-01-30_12_36,2833.442817770795
2025-02-20_46_35,2910.5427121167777
2025-01-19_02_16,1557.8075529032203
2025-02-17_32_19,2541.8779945495894
2025-01-08_46_47,1774.2520915660234
2025-01-31_41_36,3675.494935103974
2025-02-02_46_15,1721.6848664855627
2025-01-12_02_16,1875.6055452226965
2025-02-05_04_29,1218.8576020447033
2025-01-12_44_46,3480.3338666605705
2025-01-17_03_45,2357.414220116066
2025-02-23_37_36,5928.465136250594
2025-01-21_25_23,2562.870881795563
2025-01-09_15_46,1165.2376039547446
2025-01-01_47_43,2706.475722359776
2025-01-14_36_12,1596.6503101924418
2025-02-13_08_47,1421.1292407553353
2025-01-12_30_02,2065.678677087047
2025-02-02_31_02,2864.1486220199067
2025-01-21_47_05,2513.9765590749143
2025-01-09_48_46,3095.964391530568
2025-01-03_36_07,2121.2240214472376
2025-02-07_47_45,4948.381400294018
2025-01-27_46_35,1955.4706425864981
2025-02-22_26_46,1748.8300975985678
2025-01-23_19_32,2531.4738058790113
2025-02-18_16_02,1377.324723510784
2025-02-09_37_36,6704.657935338206
2025-01-24_28_47,1704.0982797520212
2025-01-05_47_08,2712.1904759341105
2025-02-02_19_32,2671.852709780438
2025-01-28_45_48,1425.9675441846666
2025-01-30_45_44,1942.8875613989221
2025-02-12_09_45,1952.3226866818588
2025-01-24_20_46,2427.1364431116704
2025-01-16_42_45,1398.708974730594
2025-01-12_36_07,1478.147955731127
2025-02-09_08_47,2142.653139572272
2025-01-17_47_46,2101.2368420067023
2025-01-22_36_37,1661.3141704777838
2025-01-07_47_43,4036.9442092098066
2025-02-05_14_30,1839.2848069467411
2025-01-20_36_11,1819.8008912500927
2025-02-16_41_36,3531.7453078535336
2025-01-22_02_31,2013.896785963306
2025-01-23_48_45,1606.4089642358206
2025-01-23_02_14,1356.8859409035408
2025-01-21_09_45,2613.9662787745165
2025-02-28_43_47,2383.540955731624
2025-02-19_02_19,1929.8616886180405
2025-02-22_44_45,1412.6244538953756
2025-01-04_38_36,1693.8716875942848
2025-02-17_45_46,3823.5110127910775
2025-01-16_39_45,2032.4505202228493
2025-01-04_02_47,2163.9014716961383
2025-01-14_02_30,1988.8072462292143
2025-02-03_09_45,3367.133140166562
2025-01-02_17_23,1743.1724466314367
2025-02-21_36_07,2089.353111063111
2025-01-02_02_16,1557.8075529032203
2025-01-07_40_02,2265.745809347337
2025-02-06_46_48,5047.61144964984
2025-02-05_45_03,1363.5138783379473
2025-02-10_02_14,1346.2090348628496
2025-02-16_14_30,1947.0741574482222
2025-01-16_19_30,1890.7512285205398
2025-01-28_03_47,1742.8058017898218
2025-02-12_19_02,1753.6144684245537
2025-02-11_27_36,1696.0978509540191
2025-02-09_46_20,2717.2422377813436
2025-02-10_02_40,2721.040836233583
2025-02-13_06_47,1687.900891996982
2025-01-23_42_45,1608.265168260849
2025-02-24_47_46,2195.7800516339435
2025-01-18_28_45,3824.838808033686
2025-02-04_01_02,1323.01131386561
2025-02-10_18_46,2465.2616714468104
2025-02-04_09_46,2815.617939735196
2025-02-20_05_45,1613.3978342515936
2025-01-11_02_16,1906.9249707512438
2025-01-14_47_03,2298.546482743923
2025-01-25_47_43,2869.1636933136933
2025-02-24_21_02,1118.5349552103712
2025-02-25_09_45,2679.98198353269
2025-01-21_28_47,1704.0982797520212
2025-01-12_46_44,6004.468391562877
2025-02-14_42_45,1896.5658194291777
2025-01-29_44_45,1119.0061059600728
2025-02-26_05_47,2158.839550560126
2025-01-19_26_46,2704.6931158384964
2025-01-20_06_47,3203.77912325911
2025-01-15_47_30,1844.602549971318
2025-02-08_36_37,6784.160775743069
2025-01-12_36_11,1348.7135072556212
2025-01-13_46_45,3432.4667523642674
2025-01-16_48_45,3766.477760155265
2025-02-21_47_43,3748.190794498098
2025-01-14_04_29,1075.3586085032066
2025-02-24_47_03,1536.3375935680197
2025-01-20_39_45,2587.1856867332854
2025-02-01_45_39,2014.037318148705
2025-02-15_46_18,2345.548694713987
2025-01-26_47_30,1790.4105500037952
2025-01-22_17_23,1459.9532170003242
2025-02-26_44_46,1354.2448308513099
2025-02-28_48_46,5194.522014506109
2025-01-10_02_14,1494.6032458952407
2025-02-16_47_06,1306.2413440183393
2025-01-18_46_18,2487.115462155186
2025-01-31_06_47,1509.3894350551036
2025-01-14_44_45,3159.605874043374
2025-01-22_46_20,1723.832452669967
2025-02-10_05_47,2791.0682515358644
2025-02-24_30_14,1382.3255920533827
2025-01-07_36_07,1427.696588116231
2025-02-14_13_23,1818.922210917057
2025-01-23_45_44,1490.261656690798
2025-02-08_35_46,1847.2649289109343
2025-02-21_19_02,1780.4853819796215
2025-02-28_45_39,3727.964917060092
2025-01-12_15_46,1765.482007670516
2025-02-26_47_05,3199.644742496263
2025-02-10_23_13,1509.8161856895763
2025-02-01_20_46,2746.9292637941194
2025-01-04_01_02,1216.2681563660674
2025-02-13_37_36,4895.618919160901
2025-01-23_45_42,2000.4047233568215
2025-01-24_02_19,2530.40055391644
2025-01-11_46_20,6863.756684484464
2025-02-18_05_47,2930.4710374320025
2025-01-05_46_20,2529.814265709167
2025-02-03_40_02,2537.41457063854
2025-01-07_02_31,1983.3562512663302
2025-01-14_27_36,1200.9723118362997
2025-02-02_40_02,2762.285939428702
2025-02-28_03_47,1648.19912412594
2025-01-06_03_47,1531.3437427860483
2025-01-30_45_09,3073.008317350473
2025-01-25_40_02,2774.835979495526
2025-01-15_23_13,1474.670511915238
2025-01-19_48_46,7140.198564409362
2025-01-15_01_02,1255.1560099754665
2025-01-24_02_47,2394.5218064203814
2025-02-09_03_45,1641.1205328579315
2025-02-07_19_30,1413.903824197276
2025-02-12_41_36,2620.8955943075703
2025-01-29_46_45,2980.5896806799024
2025-02-17_47_08,1451.050515940163
2025-02-10_47_10,1345.1441208567564
2025-01-31_36_22,1368.0858192165208
2025-02-04_26_46,1559.6405686231053
2025-01-22_46_15,1601.3736571710058
2025-01-19_05_45,4778.923371762866
2025-02-24_45_03,1303.286832090296
2025-02-27_45_39,2626.9015317884455
2025-01-06_02_40,2306.2692226198055
2025-01-26_02_16,1533.5244196846345
2025-01-19_36_41,3178.094900924642
2025-02-16_02_40,2638.0395928761395
2025-01-01_45_05,1788.1435204929953
2025-01-08_41_36,3638.23400764184
2025-01-14_47_45,4950.437796743833
2025-01-17_11_36,1693.8716875942848
2025-01-07_46_18,2203.3192772438188
2025-02-14_45_28,4624.739793617761
2025-01-22_39_45,1276.0616830881388
2025-02-12_46_45,3685.902634370303
2025-01-22_14_30,1579.3786238073317
2025-01-22_08_47,1744.4382596811256
2025-02-28_05_47,2717.5739281184
2025-02-27_19_02,1588.3696882772024
2025-01-12_36_22,1568.6471954275712
2025-01-18_05_47,6336.035595328069
2025-01-03_30_02,2064.4311720135674
2025-02-21_45_34,3096.1972697542833
2025-01-03_05_45,2428.594407803926
2025-01-05_36_22,1932.6106186146694
2025-02-21_02_19,2178.893023092037
2025-01-14_46_20,4202.275649511365
2025-01-05_13_23,1302.112351644755
2025-01-22_35_46,2799.298863268506
2025-02-10_38_36,2025.4354240705263
2025-02-19_45_05,1623.1384062464347
2025-01-27_46_09,2635.496101612496
2025-01-18_09_45,3451.7657653126084
2025-02-11_45_42,1483.292422816309
2025-01-07_46_44,2335.568307257812
2025-01-16_02_21,1288.8298987075846
2025-01-22_46_18,1833.2137081234525
2025-01-20_47_28,2127.155056353251
2025-01-07_45_03,2740.4670601403654
2025-01-15_32_19,2333.593715621789
2025-01-18_16_02,1502.0559059837872
2025-01-13_19_30,1760.386451761531
2025-02-06_45_44,1790.1026961753316
2025-01-26_36_41,3819.4835502073997
2025-02-17_46_33,1021.1076885377553
2025-01-23_08_47,1465.0635083782454
2025-01-04_36_41,3868.199222401492
2025-01-14_09_45,3864.7690586802883
2025-01-20_46_20,2405.306850869591
2025-01-05_34_45,4167.641996085195
2025-01-21_02_30,2086.64007166789
2025-02-07_02_30,2610.4936268681627
2025-01-09_05_45,1755.0882945341266
2025-01-27_46_45,4586.42470168048
2025-02-11_36_22,1417.16583484935
2025-01-30_44_45,1528.3135614410146
2025-01-10_19_32,2618.886335582781
2025-02-23_23_25,1670.3938489361133
2025-02-25_25_23,2405.7270221735807
2025-02-25_47_46,2193.946248572703
2025-02-09_47_06,1096.3098749187898
2025-01-21_46_20,1952.6206965700253
2025-01-17_02_14,1463.8246008223894
2025-01-22_45_34,1929.8363792589553
2025-01-08_30_02,1870.0122719368444
2025-02-18_46_18,1532.6786159548933
2025-01-29_46_47,1492.4297644503858
2025-01-09_02_40,2268.3489795138325
2025-01-06_47_30,1759.3943687741712
2025-01-16_02_40,2614.359846884231
2025-01-04_46_26,1886.4009449347727
2025-01-19_46_44,3539.690833897236
2025-02-06_46_47,1841.214595787007
2025-01-26_21_02,1306.9139522542523
2025-01-19_16_02,1874.3600077781527
2025-01-13_09_45,2430.8403995951826
2025-01-04_02_24,1593.5732728428652
2025-02-24_45_48,2353.1035638528715
2025-01-22_02_16,1366.8331041196284
2025-02-16_02_14,1488.0587122133543
2025-02-15_46_09,4143.334332028552
2025-02-17_02_19,1893.023754167192
2025-01-13_46_33,2475.3225634393066
2025-01-13_27_36,1141.191458761052
2025-02-25_03_47,1663.6248519718645
2025-02-27_06_47,1310.582633145692
2025-02-14_09_46,3538.3151002687964
2025-02-15_36_41,3101.108876241158
2025-01-24_36_12,2788.9794147119565
2025-02-11_20_46,4149.890844021051
2025-01-18_47_43,3508.820681556698
2025-01-18_48_45,3676.486812477539
2025-01-05_36_27,1183.124053240014
2025-01-17_06_47,3238.129412865695
2025-02-22_05_45,1878.54838753229
2025-01-30_45_46,5539.406167519099
2025-02-16_46_33,1313.1966936322513
2025-01-18_02_24,1646.5928388752588
2025-02-11_45_48,1443.052330270869
2025-01-01_45_03,1844.9500847162626
2025-01-28_36_11,1654.664613852952
2025-02-18_19_30,2051.3798282456455
2025-02-06_09_45,1754.4412029322914
2025-02-09_26_46,2174.7948839455667
2025-02-27_47_43,2849.9669708298943
2025-01-22_02_24,1413.4722432641067
2025-01-21_30_02,2281.3645457635243
2025-02-24_25_23,2045.4725347387139
2025-01-05_36_11,1434.3057825143273
2025-01-27_04_29,1075.3586085032066
2025-02-27_46_18,2096.454636065885
2025-01-09_45_28,4861.094462742668
2025-01-03_36_37,1003.1446925487302
2025-01-23_45_48,2504.552946504836
2025-01-31_47_05,3724.3907596986346
2025-02-09_06_47,1762.6446938677545
2025-01-25_47_46,1877.3663077515705
2025-02-02_02_14,1473.192330202849
2025-01-01_48_46,8802.792167217493
2025-02-04_11_36,2291.8040916389577
2025-01-21_36_27,1428.0166157181848
2025-02-13_02_40,2720.7549939001465
2025-01-21_46_45,3488.523023898489
2025-02-24_43_47,1998.0701153970263
2025-01-25_02_01,1352.4984014100405
2025-02-25_48_45,1436.214216065977
2025-01-26_47_46,1913.6272042954488
2025-01-14_02_16,1350.0873038123084
2025-01-20_19_32,2229.6850532112603
2025-02-13_23_25,1707.8712031392754
2025-01-20_12_36,2037.7931390045374
2025-01-29_47_43,2402.2534630184596
2025-02-21_47_46,2686.731438569656
2025-02-03_37_36,6085.956385363884
2025-02-02_47_43,2131.448520529591
2025-01-04_47_28,2431.4107434872567
2025-02-18_36_37,5841.988003814513
2025-02-14_47_45,5081.135493528842
2025-01-08_02_21,1281.2900242256524
2025-02-22_45_46,3947.122742747413
2025-02-06_30_14,1669.2237715903116
2025-02-16_47_43,2383.540955731624
2025-01-16_23_25,2019.1475540306117
2025-01-27_44_46,2393.2171666396116
2025-01-07_05_47,2398.2629510407164
2025-02-14_45_03,1992.235222121465
2025-01-07_46_20,2711.973818396654
2025-02-25_27_36,1711.6315946653915
2025-01-31_47_43,3269.43447499834
2025-01-23_34_45,1559.406540341371
2025-02-15_44_45,1641.7584560174046
2025-01-28_02_16,1399.5029074635595
2025-01-30_36_12,2128.7924024774757
2025-02-28_46_18,2794.6452924083724
2025-01-21_02_14,1292.1921697485866
2025-01-15_02_01,1346.2090348628496
2025-02-14_08_47,1958.358256026955
2025-01-25_36_12,2483.6565266659604
2025-01-03_15_46,2142.09684138037
2025-01-06_22_36,1449.750402822105
2025-01-29_19_32,2152.321894442865
